,text,label
0,"Que hacer con 1 1/2 tazas de Oporto leonado, 1 taza de higos secos Calimyrna picados, 6 clavos enteros, 18 galletas de vainilla, 1 taza de avellanas tostadas (unas 5 onzas), 3 cucharadas de mantequilla sin sal, derretida, 4 paquetes de 8 onzas de queso crema, a temperatura ambiente, 1 1/2 tazas más 3 cucharadas de azúcar, 4 huevos grandes, 1/4 de taza de Frangelico (licor de avellana), 2 cucharaditas de extracto de vainilla, 3 cucharaditas de cáscara de naranja rallada, 1 taza de crema agria, 1 naranja, 2 higos secos, 10 avellanas, 2 tazas de Oporto leonado, 1/2 taza de azúcar, 1 cucharada de agua, 2 cucharaditas de maicena]",cook
1,"Quiero Tarta de queso de higos confitados, avellanas y naranja con salsa de oporto  como se hace",cook
2,Como preparar Posole de pavo ,cook
3,"Si tengo 1/4 de taza de yogur natural de leche entera, 1/4 de taza de mayonesa, 2 cucharadas de zumo de limón fresco, 2 cucharadas de cebollino fresco picado, 1/8 cucharadita de azúcar, Sal y pimienta negra recién molida, 1 cabeza grande de frisé, recortada y cortada en trozos pequeños, 3 cabezas de lechuga bibb o 1 cabeza de lechuga boston, rasgada, 1 libra de rábanos, recortados; cortados en rodajas si son más grandes que un bocado, 2 cebolletas o 4 cebolletas, recortadas y cortadas en rodajas finas, 2 zanahorias medianas, peladas y ralladas gruesas]que puedo hacer",cook
4,Como preparar Tarta de nueces a la antigua usanza ,cook
5,"Si tengo 1/4 de taza (1/2 barra) de mantequilla, 1 taza de apio picado, 1/2 taza de chalotas picadas gruesas (unas 3 grandes), 2 libras de raíces de apio (apionabo), peladas, con las partes leñosas recortadas y desechadas, cortadas en cubos de 1/2 pulgada (unas 5 1/2 tazas), 1 patata russet de 10 onzas, pelada y cortada en trozos de 1 pulgada, 5 tazas de caldo de pollo bajo en sal, 1 1/2 cucharaditas de tomillo fresco picado, 1/4 de taza de nata líquida, Tomillo fresco picado adicional]que puedo hacer",cook
6,Como preparar Tarta de nueces y almendras con compota de naranja y granada ,cook
7,"Como preparar Sopa fría de remolacha, naranja y eneldo ",cook
8,Quiero Camarones en escabeche  como se hace,cook
9,"Que puedo hacer con 2 libras de berenjenas, cortadas en cubos de 1 pulgada, 1 taza de aceite de oliva, 1 cebolla mediana picada, 2 1/2 tazas de salsa marinara (hecha en casa o utilice salsa embotellada de 24 a 26 onzas), 1 libra de rigatoni secos, 1 libra de mozzarella fría (preferiblemente fresca salada), cortada en cubos de 1/2 pulgada]",cook
10,Como preparar El guiso favorito de los tailgaters ,cook
11,Quiero Milhojas de manzana para el bricolaje  como se hace,cook
12,"Que hacer con 1 taza (2 barritas) de mantequilla sin sal, a temperatura ambiente, 1 taza (empaquetada) de azúcar moreno dorado, 2 huevos grandes, 1 cucharadita de extracto de vainilla, 2 tazas de harina para todo uso, 1 cucharadita de polvo de hornear, 1 cucharadita de bicarbonato de sodio, 1 cucharadita de canela molida, 1/4 de cucharadita de sal, 1/8 cucharadita de pimienta molida, 1 paquete de 12 onzas de chips de chocolate semidulce]",cook
13,"Como puedo preparar Aceite vegetal, 4 onzas de chocolate agridulce (no sin azúcar) o semidulce, picado, 4 onzas de chocolate con leche picado, ""4 onzas de chocolate blanco de buena calidad (como Lindt o Bakers), picado"", 1/4 de taza de agua fría, 1 cucharada de gelatina sin sabor, 5 yemas de huevo grandes, 1/4 de taza de azúcar, 1 taza de mitad y mitad, 1 3/4 tazas de nata líquida fría]",cook
14,"Que receta usa Aceite vegetal, 4 onzas de chocolate agridulce (no sin azúcar) o semidulce, picado, 4 onzas de chocolate con leche picado, ""4 onzas de chocolate blanco de buena calidad (como Lindt o Bakers), picado"", 1/4 de taza de agua fría, 1 cucharada de gelatina sin sabor, 5 yemas de huevo grandes, 1/4 de taza de azúcar, 1 taza de mitad y mitad, 1 3/4 tazas de nata líquida fría]",cook
15,"Que puedo hacer con 1 cebolla blanca pequeña, pelada y cortada en cuartos, 5 dientes de ajo grandes, sin pelar, 4 libras de tomates (unos 15 medianos), 5 chiles chipotles enlatados, 2 cucharadas de aceite de canola, 1 cucharadita de sal marina fina]",cook
16,"Que puedo hacer con 1 cucharadita de cordial o jarabe de flor de saúco, 1 1/2 ounces añejo tequila, 1 limón, Gaseosa (para servir)]",cook
17,Quiero Pinchos de Pollo y Cebolla  como se hace,cook
18,Que hacer con ],cook
19,Quiero Salteado de setas y puerros  como se hace,cook
20,"Como puedo preparar 1 1/2 tazas de tahini (pasta de sésamo), 3 ó 4 dientes de ajo machacados, Zumo de 5 limones o al gusto (aproximadamente 1 taza), 1 cucharadita de sal marina, Perejil picado para decorar]",cook
21,"Como se llama la receta con 1 1/2 tazas de tahini (pasta de sésamo), 3 ó 4 dientes de ajo machacados, Zumo de 5 limones o al gusto (aproximadamente 1 taza), 1 cucharadita de sal marina, Perejil picado para decorar]",cook
22,"Si tengo 1/3 de taza de jarabe de arce, 1/4 de taza de salsa de soja, 1 cucharadita de salsa de adobo de los chipotles en adobo enlatados, 4 filetes de salmón sin piel de 6 onzas]que puedo hacer",cook
23,"Como puedo preparar 5 onzas de pulpa de tamarindo, 2 tazas más 2 cucharadas de agua fría, 1 trozo (1 pulgada) de jengibre fresco, pelado y rallado, 3 dientes de ajo picados, 3 cucharadas de azúcar, o más al gusto, 1 cucharada de salsa de chile y ajo (sambal oelek), 2 cucharaditas de salsa de pescado tailandesa (nam pla), 1 cucharadita de salsa de soja de buena calidad, como Kikkoman, 2 cucharadas de maicena]",cook
24,"Si tengo 5 onzas de pulpa de tamarindo, 2 tazas más 2 cucharadas de agua fría, 1 trozo (1 pulgada) de jengibre fresco, pelado y rallado, 3 dientes de ajo picados, 3 cucharadas de azúcar, o más al gusto, 1 cucharada de salsa de chile y ajo (sambal oelek), 2 cucharaditas de salsa de pescado tailandesa (nam pla), 1 cucharadita de salsa de soja de buena calidad, como Kikkoman, 2 cucharadas de maicena]que receta lo usa",cook
25,Como preparar Salsa de tamarindo para mojar ,cook
26,"Si tengo 1/4 de taza de aceite de oliva, 2 cucharadas de zumo de limón fresco, 1 cucharadita de azúcar, 2 tazas de guisantes frescos sin cáscara o un paquete de 10 onzas de guisantes pequeños congelados, sin descongelar, 8 onzas de zarcillos de guisantes, cortados en longitudes de 4 pulgadas]que puedo hacer",cook
27,"Que hacer con 1/2 taza de leche entera, Seltzer, 4 cucharadas de jarabe de chocolate]",cook
28,Quiero Sopa de pavo  como se hace,cook
29,Quiero Sopa de garbanzos y brócoli Rabe  como se hace,cook
30,"Que hacer con 2 o 3 cubitos de hielo, 2 cucharadas de zumo de limón, 1 cucharada de granadina, Gaseosa fría]",cook
31,"Que puedo hacer con 1 taza de crème frîache, 1/2 taza de miel, 1 cucharada de semillas de comino enteras, tostadas y finamente molidas con un molinillo de especias o de café (aproximadamente 1 cucharadita molida), 1 cucharada de semillas de cilantro enteras, tostadas y finamente molidas con un molinillo de especias o de café (aproximadamente 1 cucharadita molida), 1/2 cucharadita de sal kosher, 1/4 de cucharadita de pimienta negra recién molida, 6 libras de costillas de cordero Denver (costillas de pechuga de cordero; 6 costillas pequeñas), 3 cucharaditas de sal kosher, 3 cucharaditas de pimienta negra recién molida, 2 cucharadas de aceite de oliva virgen extra, 4 cebollas, picadas gruesas, 8 zanahorias, cortadas en trozos grandes, 8 tallos de apio, picados gruesos, 2 cabezas de ajo, dientes pelados y picados gruesos (aproximadamente 1/2 taza en total), 4 cucharadas de romero fresco, picado grueso (de 12 ramitas), 4 tazas de vino tinto seco, 1 litro de caldo de ternera o de pollo o de caldo de pollo bajo en sodio, 2 tazas de guisantes congelados (de un paquete de 10 onzas), sin descongelar, 1 cebolla roja, finamente picada, 1/4 de taza de aceite de oliva virgen extra, 2 cucharadas de zumo de limón fresco, 1/2 cucharadita de sal kosher, 1/4 de cucharadita de pimienta negra recién molida, 2 tazas de aceite vegetal, 1 taza de harina de uso general, 1 taza de harina de sémola (harina de pasta), 1/2 taza de Parmigiano-Reggiano, finamente rallado, 1 cucharada de semillas de comino enteras, tostadas y finamente molidas con un molinillo de especias o de café (aproximadamente 1 cucharadita molida), 1 cucharada de semillas de cilantro enteras, tostadas y finamente molidas con un molinillo de especias o de café (aproximadamente 1 cucharadita molida), 1/2 cucharadita de sal kosher]",cook
32,"Que puedo hacer con 3/4 de taza de aceite de oliva, 3 cucharadas de zumo de limón fresco, 2 yemas de huevo grandes, 1 cucharada de agua, 2 cucharadas de estragón fresco picado, Aceite de oliva adicional, 6 filetes de atún de 6 onzas (1 pulgada de grosor), 6 ramitas de estragón fresco]",cook
33,"Que puedo hacer con 1 taza de tahini, 6 onzas de chocolate agridulce picado, 1/4 de taza más 2 cucharadas de miel, 2 cucharaditas de sal kosher, 1 1/2 cucharaditas de canela molida, 1/2 cucharadita de ralladura fina de naranja, 1 taza de pistachos tostados y salados sin cáscara, 1/4 de taza más 2 cucharadas de semillas de sésamo blanco tostadas]",cook
34,"Que hacer con 2 1/2 cucharadas de mantequilla, 1/2 taza de pan rallado fresco (de pan francés), 1 1/4 tazas de leche entera, 1/2 taza de nata para montar, 1 cucharada de harina para todo uso, 12 onzas de queso Gorgonzola, desmenuzado, 1 libra de pasta rigatoni o penne, 1/4 de taza de queso parmesano rallado]",cook
35,Quiero Rigatoni con queso Gorgonzola  como se hace,cook
36,Quiero Lomo de cerdo al ajo y limón a la parrilla  como se hace,cook
37,"Que hacer con 1 lata (de 16 a 19 onzas) de alubias cannellini, enjuagadas y escurridas, 1 lata (de 3 3/4 a 4 3/8 onzas) de sardinas en aceite, escurridas, 1 1/2 cucharadas de zumo de limón fresco, 3 cucharadas de aceite de oliva virgen extra, 1 diente de ajo picado, 4 rebanadas (de 1/2 pulgada de grosor) de pan de campo, 2 oz de rúcula o berros (5 tazas)]",cook
38,"Que hacer con 1 cucharada de mantequilla, 1 paquete de 10 onzas de granos de maíz congelados, 3 cebollas verdes picadas, 2 cucharadas de hojas de apio picadas, 1/3 de taza de queso de hierbas suave (como el Boursin), 2 huevos, 2 yemas de huevo, 2 cucharadas de harina para todo uso, 1 1/4 tazas de mitad y mitad, 1 paquete de 15 onzas de All Ready Pie Crusts, a temperatura ambiente]",cook
39,Quiero Tarta de maíz dulce  como se hace,cook
40,"Que hacer con 1 libra de gambas sin cocer, peladas y desvenadas, 1 cucharada de aceite de sésamo oriental o de aceite vegetal, 1 cucharada de ajo picado, 1 cucharada de jengibre fresco picado, 1/4 de cucharadita de pimienta roja seca triturada, 3 cucharadas de salsa de soja, 2 cucharaditas de maicena, 1/2 taza de caldo de pollo bajo en sal en lata, 1/4 de taza de vinagre de arroz, 2 cucharadas de azúcar, 6 cebollas verdes, cortadas en trozos de media pulgada, 1 taza de tirabeques, Arroz cocido]",cook
41,Como preparar Tostada de tomate verde con ricotta salata y limón ,cook
42,Como preparar Zanahorias glaseadas con vino tinto y arce ,cook
